stop_id,difficulty_id,location
1079516,146,
1079517,146,
1079532,30,Sędziszów
1079549,141,
1079552,30,Suchedniów
1079560,147,
1079568,30,Warszawa Zachodnia
1079628,141,
1079633,141,Tomaszów Mazowiecki
1079639,142,
1079640,144,
1079652,143,
1079656,151,Otwock
1079678,152,Mleczewo
1079679,144,
1079681,144,Psary
1079682,144,Radziszów
1079695,144,Miechów
1079716,30,Ozorków
1079717,141,
1079727,155,Kraków Główny
1079732,155,Sieniawa
1079740,148,Pruszcz Gdański
1079742,142,
1079743,148,Warszawa Praga WPT m
1079746,153,Knapówka
1079747,153,Sosnowiec Główny
1079756,142,Pszczółki
1079758,148,Mleczewo
1079759,139,Montowo
1079776,148,Mleczewo
1079777,148,Ciechanów
1079792,148,
1079793,148,Mława
1079796,148,
1079797,144,
1079808,143,
1079821,146,
1079829,146,Sumina
1079838,146,Tczew
1079840,151,
1079843,151,Wydartowo
1079850,151,Wrocław Mikołajów
1079851,151,Wrocław Główny
1079868,143,Pruszcz Gdański
1079872,151,
1079881,141,
1079882,141,
1079886,142,
1079891,144,Będzin
1079902,148,
1079913,141,Kutno
1079915,141,
1079916,141,
1079994,139,
1079995,139,Laskowice Pomorskie
1079996,151,
1080020,142,
1080021,142,Kościan
1080022,142,Kościan
1080023,142,
1080027,142,Wrocław Popowice Wp2
1080033,142,
1080034,141,Terespol Pomorski
1080037,142,
1080039,142,
1080053,142,
1080056,142,
1080058,142,
1080066,152,Pszczółki
1080067,30,Pelplin
1080077,30,Oborniki Śląskie
1080087,147,
1080098,148,
1080101,148,Warszawa Centralna
1080112,141,
1080116,147,
1080121,146,Gdynia Główna
1080124,30,
1080131,151,
1080162,151,
1080164,151,
1080220,151,
1080221,30,
1080233,152,
1080234,152,Warszawa Gołąbki
1080252,143,
1080264,141,
1080289,141,Łódź Chojny
1080297,146,
1080298,146,
1080305,141,
1080306,141,
1080307,144,
1080308,144,
1080309,142,
1080310,142,
1080311,142,
1080312,142,
1080314,142,
1080324,142,
1080327,30,
1080335,141,
1080345,30,
1080348,30,
1080364,141,
1080426,141,Łódź Kaliska PZS R219-227
1080428,141,Koluszki
1080429,141,Koluszki
1080456,140,
1080458,199,
1080477,142,
1080493,140,
1080495,199,Pawonków
1080499,30,Rozprza
1080520,142,Piotrków Trybunalski
1080521,30,Rokiciny GT
1080522,142,
1080523,142,
1080524,30,Warszawa Włochy
1080554,146,
1080555,146,
1080556,140,
1080557,140,
1080558,199,
1080559,146,Liswarta
1080562,142,
1080563,142,
1080564,140,Płyćwia
1080565,146,Skierniewice
1080623,144,
1080626,148,
1080627,142,
1080717,151,Pelplin
1080718,148,Pszczółki
1080726,142,
1080730,142,
1080732,142,
1080733,142,Kołodziejewo
1080746,142,Luboń koło Poznania
1080750,151,
1080755,147,
1080772,142,
1080774,141,
1080782,30,
1080783,30,Smolec
1080784,146,
1080785,142,
1080786,142,
1080789,142,Poznań Główny
1080790,142,Poznań Główny
1080791,30,Trzemeszno
1080792,142,
1080794,142,
1080795,151,Smętowo
1080796,142,
1080805,147,Grabowno Wielkie
1080811,30,
1080819,173,
1080823,144,
1080827,30,
1080902,143,Babimost
1080911,152,Konin
1080912,152,Koło
1080914,152,Jackowice
1080915,143,
1080916,144,
1080919,144,Otwock
1080929,140,
1080934,151,
1080936,142,
1080937,142,
1080939,30,Kłodawa
1080941,143,
1080942,143,
1080963,141,
1080964,143,
1081020,147,
1081111,30,Poznań Główny
1081112,30,Pierzyska
1081117,151,
1081122,147,
1081140,30,Inowrocław
1081174,30,Wydartowo
1081177,30,Pruszcz Pomorski
1081178,30,Warlubie
1081179,30,Tczew
1081185,30,Gdynia Główna
1081212,30,
1081213,143,Warszawa Zachodnia
1081237,143,Rumia
1081268,147,
1081274,147,Żychlin
1081275,143,
1081276,143,Warszawa Włochy
1081292,146,
1081293,146,
1081301,146,Warszawa Włochy
1081326,142,
1081336,145,
1081337,144,Żyrardów
1081338,144,
1081352,154,
1081353,141,Kalisz
1081363,30,
1081365,157,Stara Łubianka
1081370,30,
1081371,30,
1081375,151,
1081376,152,
1081377,152,
1081378,143,Sochaczew
1081379,152,Warszawa Zachodnia
1081382,143,Damnica
1081383,141,
1081392,142,Mleczewo
1081394,148,
1081404,141,Rogów
1081405,141,
1081415,146,Rokietnica
1081416,147,
1081423,143,
1081424,151,
1081449,154,Pleszew
1081450,30,
1081455,152,Łódź Chojny
1081456,30,Łódź Chojny
1081457,142,
1081467,142,
1081468,141,
1081473,148,
1081475,148,Warszawa Zachodnia
1081476,30,Sprowa
1081488,142,
1081494,146,Wrocław Muchobór
1081495,146,Wrocław Główny
1081496,146,Opole Groszowice
1081497,146,Gliwice
1081498,146,Gliwice
1081500,146,Jaworzno Szczakowa
1081503,30,Szczecinek
1081507,157,Rogoźno Wielkopolskie
1081514,152,
1081520,157,Pyskowice
1081522,157,Katowice Tow. KTC
1081527,157,Zabierzów
1081533,149,
1081547,140,
1081551,30,
1081569,142,Radymno
1081572,155,Świnoujście
1081573,155,Świnoujście
1081577,155,Szczecin Wstowo
1081581,155,Kostrzyn KOB GT
1081582,155,Ługi Górzyckie
1081583,142,
1081587,155,Małowice Wołowskie
1081588,155,Wołów
1081589,155,Wrocław Muchobór
1081590,155,Opole Główne
1081591,155,Opole Główne
1081592,155,Kędzierzyn-Koźle
1081593,155,Zabrze
1081594,155,Zabrze
1081595,155,Jaworzno Szczakowa
1081642,142,
1081653,149,
1081672,147,Mysłowice
1081678,142,
1081694,142,
1081697,142,
1081700,154,
1081703,140,
1081724,141,Nosówko
1081728,157,Dziembówko
1081759,147,
1081767,141,
1081794,141,
1081795,141,
1081818,141,
1081825,142,
1081827,142,
1081834,142,Warszawa Wschodnia
1081858,140,
1081882,155,Szczecin Główny
1081907,144,
1081909,144,
1081959,142,
1081960,142,
1081963,142,
1081965,142,
1081966,142,
1081967,142,
1081970,157,Iwin
1081972,157,Płytnica
1081974,147,
1081975,147,
1081976,142,Poznań PoD
1081979,157,Rawicz
1081980,157,Rawicz
1081993,144,Grodzisk Mazowiecki
1081995,144,Warszawa Wschodnia
1081997,146,Warszawa Centralna
1081999,146,Warszawa Falenica
1082027,142,
1082078,144,
1082118,142,Stalowa Wola Rozwadów
1082119,142,Stalowa Wola Rozwadów
1082133,149,
1082141,141,
1082170,144,Tarnów
1082171,144,Łowczówek Pleśna
1082178,157,
1082193,157,
1082206,144,Kraków Główny
1082225,173,Kraków Główny
1082227,30,
1082244,144,
1082270,30,
1082344,142,
1082345,144,Leńcze
1082356,144,Warszawa Wschodnia
1082360,142,
1082361,144,Działdowo
1082362,144,Gralewo
1082364,148,Malbork
1082372,155,Poronin
1082374,142,
1082375,144,
1082403,146,
1082404,146,Zabierzów
1082482,30,
1082486,151,
1082494,154,
1082517,144,Nowy Targ
1082518,144,Nowy Targ
1082527,147,
1082551,144,Radziszów
1082553,142,Trzebinia
1082566,154,
1082616,155,Skawa
1082665,141,
1082666,141,
1082702,148,
1082712,146,Siedliska
1082725,142,Prabuty
1082727,148,
1082730,144,
1082738,144,Tunel
1082739,144,Kraków Batowice
1082741,144,Osielec
1082742,144,Sieniawa
1082743,144,Biały Dunajec
1082750,149,Tczew
1082752,142,
1082754,148,
1082756,139,
1082757,142,
1082794,30,Łęczyca
1082796,141,
1082797,141,
1082817,30,Żabi Róg
1082837,155,Szczecin Główny
1082887,141,
1082893,143,Małdyty
1082921,148,Tczew
1082956,157,Piła Główna
1083056,142,Henryków
1083060,144,
1083061,144,
1083073,154,
1083103,172,Zawiercie
1083109,146,Poznań Główny
1083122,147,
1083127,146,
1083128,146,
1083149,142,
1083168,146,Gorzów Wielkopolski Wschodni
1083184,142,Poznań Główny
1083185,142,Drawski Młyn
1083186,142,
1083243,141,
1083260,144,Zembrzyce Nowe
1083261,144,Maków Podhalański
1083262,144,Osielec
1083263,144,
1083270,157,
1083271,157,
1083272,148,Strzebielino Morskie
1083313,157,Poznań Główny
1083314,157,Poznań Główny
1083351,157,Koszalin
1083353,142,
1083372,157,
1083373,157,
1083391,141,
1083395,30,Białogard
1083400,141,
1083425,149,
1083426,141,
1083452,142,
1083454,149,
1083457,142,
1083458,142,
1083666,155,Przemyśl Główny
1083667,166,
1083794,146,Warszawa Centralna
1083796,146,Warszawa Falenica
1084709,141,
1084777,142,
1084778,151,
1084779,142,
1084784,142,Kędzierzyn-Koźle
1084785,142,
1084837,142,
1084838,30,Świebodzin
1084839,30,
1084875,142,
1084876,142,
1084911,30,
1084912,30,Łódź Widzew
1084914,30,Skierniewice
1084916,30,Warszawa Włochy
1084918,30,Warszawa Wschodnia
1084919,30,Zielonka
1084920,30,Tłuszcz
1084925,30,Łapy
1084958,142,Warszawa Zachodnia
1084982,30,Warszawa Wschodnia
1084983,30,Sulejówek Miłosna
1084994,142,Warszawa Wschodnia
1084995,140,Mińsk Mazowiecki
1085120,142,Sulejówek Miłosna
1085144,141,
1085148,148,Tunel
1085153,148,Warszawa Wschodnia
1085156,142,Tunel
1085163,142,Dąbrowa Górnicza Ząbkowice DZA
1085166,147,Stryszów
1085175,30,Grodzisk Mazowiecki
1085179,141,Warszawa Wschodnia
1085185,30,Lesiów
1085186,141,Rożki
1085187,30,Suchedniów
1085195,30,Warszawa Okęcie
1085198,30,Starachowice Wschodnie
1085199,30,Starachowice Wschodnie
1085201,142,
1085206,142,
1085207,142,
1085213,142,Warszawa Centralna
1085218,142,Lesiów
1085222,142,
1085239,152,
1085255,146,Warszawa Zachodnia
1085256,146,Knapówka
1085259,146,Warszawa Wschodnia
1085261,146,Warszawa Zachodnia
1085262,30,
1085275,147,
1085276,141,
1085277,151,
1085296,139,Sosnowiec Główny
1085305,30,
1085328,141,
1085333,30,Rokiciny
1085334,139,
1085349,141,
1085353,141,Bielsko-Biała Komorowice
1085354,141,Wilkowice Bystra
1085355,146,Warszawa Zachodnia
1085358,170,
1085359,148,Prabuty
1085368,143,Warszawa Wschodnia
1085369,142,Ciechanów
1085372,142,
1085379,30,Gałkówek
1085381,30,Żyrardów
1085382,142,
1085387,143,
1085391,142,
1085392,148,
1085401,139,
1085403,141,
1085404,141,Grodzisk Mazowiecki
1085406,141,Warszawa Wschodnia
1085407,142,Legionowo
1085412,142,
1085416,139,Gdańsk Główny
1085424,30,Skierniewice
1085426,30,Warszawa Włochy
1085445,153,Gałkówek
1085446,30,
1085448,142,Grodzisk Mazowiecki
1085451,142,Warszawa Praga PZS R21-46
1085454,153,Konopki
1085456,142,
1085472,144,Warszawa Wschodnia
1085473,144,Warszawa Wschodnia
1085521,141,
1085522,141,
1085524,151,Witonia
1085544,141,
